string,string,string,string
boxno,sn,carno,creattime
LFB7201709210008,1PQ1728000377,32000383,2017/9/21 14:26
LFB7201709210008,1PQ1728000490,32002352,2017/9/21 14:26
LFB7201709210008,1PQ1733000622,32001997,2017/9/21 14:26
LFB7201709210008,1PQ1733000635,32001981,2017/9/21 14:26
LFB7201709210008,1PQ1733000637,32002017,2017/9/21 14:26
LFB7201709210008,1PQ1733000651,32002314,2017/9/21 14:26
LFB7201709210008,1PQ1733000708,32001983,2017/9/21 14:26
LFB7201709210008,1PQ1733000787,32002357,2017/9/21 14:26
LFB7201709210008,1PQ1733001018,32001940,2017/9/21 14:26
LFB7201709210008,1PQ1733001070,32000421,2017/9/21 14:26
LFB7201709210008,1PQ1733001291,32002039,2017/9/21 14:26
LFB7201709210008,1PQ1733001752,32001977,2017/9/21 14:26
LFB7201709210009,1PQ1728000084,32002290,2017/9/21 14:37
LFB7201709210009,1PQ1728000169,32002360,2017/9/21 14:37
LFB7201709210009,1PQ1728000191,32002351,2017/9/21 14:37
LFB7201709210009,1PQ1728000219,32002336,2017/9/21 14:37
LFB7201709210009,1PQ1728000262,32000362,2017/9/21 14:37
LFB7201709210009,1PQ1728000320,32000374,2017/9/21 14:37
LFB7201709210009,1PQ1728000339,32002354,2017/9/21 14:37
LFB7201709210009,1PQ1728000361,32002349,2017/9/21 14:37
LFB7201709210009,1PQ1733000663,32002010,2017/9/21 14:37
LFB7201709210009,1PQ1733000705,32000366,2017/9/21 14:37
LFB7201709210009,1PQ1733000769,32000435,2017/9/21 14:37
LFB7201709210009,1PQ1733000825,32000376,2017/9/21 14:37
LFB7201709210009,1PQ1733000967,32000395,2017/9/21 14:37
LFB7201709210009,1PQ1733001008,32002344,2017/9/21 14:37
LFB7201709210009,1PQ1733001109,32000443,2017/9/21 14:37
LFB7201709210009,1PQ1733001764,32000386,2017/9/21 14:37
LFB7201709210009,1PQ1733001787,32002299,2017/9/21 14:37
LFB7201709210009,1PQ1733002101,32002002,2017/9/21 14:37
LFB7201709210010,1PQ1733001855,32000439,2017/9/21 14:43
LFB7201709210010,1PQ1733001856,32000384,2017/9/21 14:43
LFB7201709210010,1PQ1733001910,32001949,2017/9/21 14:43
LFB7201709210010,1PQ1733002197,32002294,2017/9/21 14:43
LFB7201709210010,1PQ1728000043,32002320,2017/9/21 14:43
LFB7201709210010,1PQ1728000192,32002362,2017/9/21 14:43
LFB7201709210010,1PQ1728000289,32000422,2017/9/21 14:43
LFB7201709210010,1PQ1733000632,32001984,2017/9/21 14:43
LFB7201709210010,1PQ1733000639,32001952,2017/9/21 14:43
LFB7201709210010,1PQ1733000788,32002317,2017/9/21 14:43
LFB7201709210010,1PQ1733000874,32000392,2017/9/21 14:43
LFB7201709210010,1PQ1733001035,32002324,2017/9/21 14:43
LFB7201709210010,1PQ1733001037,32000433,2017/9/21 14:43
LFB7201709210010,1PQ1733001043,32001991,2017/9/21 14:43
LFB7201709210010,1PQ1733001087,32000429,2017/9/21 14:43
LFB7201709210010,1PQ1733001821,32002300,2017/9/21 14:43
LFB7201709210010,1PQ1733001825,32001961,2017/9/21 14:43
LFB7201709210010,1PQ1733001848,32002289,2017/9/21 14:43
LFB7201709210011,1PQ1728000035,32000394,2017/9/21 14:48
LFB7201709210011,1PQ1728000137,32002313,2017/9/21 14:48
LFB7201709210011,1PQ1728000214,32002009,2017/9/21 14:48
LFB7201709210011,1PQ1728000359,32002364,2017/9/21 14:48
LFB7201709210011,1PQ1728000391,32002356,2017/9/21 14:48
LFB7201709210011,1PQ1733000627,32002008,2017/9/21 14:48
LFB7201709210011,1PQ1733000668,32002019,2017/9/21 14:48
LFB7201709210011,1PQ1733000742,32001999,2017/9/21 14:48
LFB7201709210011,1PQ1733000793,32000369,2017/9/21 14:48
LFB7201709210011,1PQ1733000927,32002011,2017/9/21 14:48
LFB7201709210011,1PQ1733000985,32000438,2017/9/21 14:48
LFB7201709210011,1PQ1733001033,32002021,2017/9/21 14:48
LFB7201709210011,1PQ1733001799,32001995,2017/9/21 14:48
LFB7201709210011,1PQ1733001804,32002304,2017/9/21 14:48
LFB7201709210011,1PQ1733001847,32000387,2017/9/21 14:48
LFB7201709210011,1PQ1733001912,32000380,2017/9/21 14:48
LFB7201709210011,1PQ1733002056,32000389,2017/9/21 14:48
LFB7201709210011,1PQ1733002142,32002287,2017/9/21 14:48
LFB7201709210012,1PQ1733001866,32000381,2017/9/21 14:51
LFB7201709210012,1PQ1733001868,32000382,2017/9/21 14:51
